"Country Name","Country Code","Year","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)","average_value_Children in employment, female (% of female children ages 7-14)","average_value_Children in employment, male (% of male children ages 7-14)","average_value_Children in employment, study and work (% of children in employment, ages 7-14)","average_value_Children in employment, study and work, female (% of female children in employment, ages 7-14)","average_value_Children in employment, study and work, male (% of male children in employment, ages 7-14)","average_value_Children in employment, total (% of children ages 7-14)","average_value_Children in employment, work only (% of children in employment, ages 7-14)","average_value_Children in employment, work only, female (% of female children in employment, ages 7-14)","average_value_Children in employment, work only, male (% of male children in employment, ages 7-14)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Literacy rate, youth (ages 15-24), gender parity index (GPI)","average_value_Prevalence of HIV, female (% ages 15-24)","average_value_Prevalence of HIV, male (% ages 15-24)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Refugee population by country or territory of asylum","average_value_Refugee population by country or territory of origin","average_value_School enrollment, primary (gross), gender parity index (GPI)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_School enrollment, secondary (gross), gender parity index (GPI)","average_value_School enrollment, tertiary (gross), gender parity index (GPI)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Vulnerable employment, female (% of female employment) (modeled ILO estimate)","average_value_Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"Bolivia","BOL","1994","90.3796","","","","","","","","","","46.44","60.74","53.7","57.76","59.71","82.26","83.39","71.62","60.311","57.009","","0.1","0.1","","734","177","0.969169974327087","","","","3.66","2.35","78.5400009155273","60.2299995422363"
"Brazil","BRA","2020","","","","","","","","","","","","","","","","","","","","","","","","14.6198830409357","59147","1588","","","","","","","",""
"Bhutan","BTN","2018","18.895","","","","","","","","","","32.94","31.3","32.08","59.25","62.13","73.56","76.25","69.71","71.816","71.123","","0.1","0.1","14.8936170212766","","7100","1.00165998935699","1.05822002887726","1.12988996505737","0.992410004138947","3.06","1.78","83.689998626709","64.6199989318847"
"Central African Republic","CAF","2009","141.723","","","","","","","","","","52.72","58.17","55.44","65.11","66.48","80.78","80.85","73.58","48.152","45.273","","2.1","1.2","9.61538461538462","27041","159542","0.723510026931763","0.698159992694855","0.565039992332459","0.438670009374619","4.53","4.18","95.2999992370605","89.5499992370605"
"Chile","CHL","1969","83.7588","","","","","","","","","","","","","","","","","","64.825","58.631","","","","","6500","","","","","","","","",""
"Congo, Rep.","COG","2008","120.13","","","","","","","","","","43.72","42.5","43.11","67.41","68.38","71.4","72.16","70.26","59.482","57.365","","2.3","0.6","7.2992700729927","24771","19922","0.93216997385025","","","","18.4","14.7","90.590003490448","62.0799989700318"
"Costa Rica","CRI","1962","122.548","","","","","","","","","","","","","","","","","","63.421","60.011","","","","","","","","","","","","","",""
"Egypt, Arab Rep.","EGY","1964","147.5622","","","","","","","","","","","","","","","","","","51.592","48.631","","","","","470","","","","","","","","",""
"Spain","ESP","1983","20.0218","","","","","","","","","","","","","","","","","","79.1","72.87","","","","","23700","600","0.990930020809174","1.03303003311157","1.07165002822876","0.90583997964859","","","",""
"Finland","FIN","2004","10.047","","","","","","","","","","49.94","51.51","50.74","56.31","72.39","65.06","76.45","74.44","82.3","75.3","","","","37.5","11309","","0.991029977798462","1.02023005485535","1.04800999164581","1.16582000255585","10.58","10.16","6.01999980211258","10.3299996852875"
"France","FRA","1994","7.7104","","","","","","","","","","34.24","39.24","36.77","47.32","59.86","63.45","74.48","67.14","81.9","73.6","","","","","195288","20","0.980199992656708","0.987689971923828","0.992669999599457","1.19196999073029","14.51","11.04","8.85000038146973","9.74999976158142"
"Gabon","GAB","1965","190.616","","","","","","","","","","","","","","","","","","44.155","41.177","","","","","","","","","","","","","",""
"United Kingdom","GBR","1970","52.3908","","","","","","","","","","","","","","","","","","75.2","68.9","","","","","162000","","","","","","","","",""
"Georgia","GEO","1980","44.239","","","","","","","","","","","","","","","","","","73.299","65.646","","","","","","","","","","","","","",""
"Georgia","GEO","2003","48.832","","","","","","","","","","29.7","44.06","37.08","57.2","60.91","74.79","77.56","68.88","74.137","66.437","","0.1","0.1","7.23404255319149","3864","12488","1.05939996242523","1.041100025177","1.03231000900269","1.0088700056076","11.54","11.48","65.0499992370606","64.3900012969971"
"Guinea","GIN","2011","147.7742","","","","","","","","","","51.2","40.95","46.09","62.49","64.77","63.33","64.15","64.49","57.963","56.622","","1","0.4","","16606","13164","0.851849973201752","0.779540002346039","0.627780020236969","0.335770010948181","3.46","5.62","96.9599990844726","84.6800022125244"
"Greece","GRC","1976","49.707","","","","","","","","","","","","","","","","","","75.394","69.782","","","","","2560","450","1.00650000572205","0.917169988155365","0.805130004882813","0.626540005207062","","","",""
"Greenland","GRL","1990","","","","","","","","","","","","","","","","","","","68.92","61.4","","","","","","","","","","","","","",""
"Guyana","GUY","2001","98.6798","","","","","","","","","","32.16","67.22","49.45","34.78","36.9","79.21","82.88","59.79","68.776","62.545","","0.3","0.1","18.4615384615385","","36","0.971580028533936","0.980989992618561","0.995540022850037","","15.23","10.25","41.6700000762939","26.6299996376038"
"Honduras","HND","1981","141.2436","","","","","","","","","","","","","","","","","","62.617","58.3","","","","","28000","","0.988719999790192","","","","","","",""
"Haiti","HTI","1996","71.9212","","","","","","","","","","34.31","42.51","38.35","57.81","58.73","73.19","73.02","65.64","58.016","54.242","","2.3","0.7","","","15119","0.944630026817322","","","","8.25","6.27","86","66.2799987792969"
"IDA & IBRD total","IBT","1989","73.2209305438693","","","","","","","","","","","","","","","","","","64.8977924012804","61.1259911029102","0.88034999370575","","","","","","0.861","0.83753","0.79423","0.792909979820251","","","",""
"Ireland","IRL","1967","14.51","","","","","","","","","","","","","","","","","","73.007","68.591","","","","","","","","","","","","","",""
"Italy","ITA","2009","6.557","","","","","","","","","","23.86","34.17","29.14","38","51.02","59.48","73.49","62.19","84.3","79.1","","0.1","0.1","21.2698412698413","54962","42","0.988569974899292","0.990819990634918","0.992190003395081","1.30046999454498","9.22","6.73","14.8099997043609","20.5199991464615"
"Jamaica","JAM","1985","112.1936","","","","","","","","","","","","","","","","","","72.758","70.893","","","","","","","1.01839005947113","1.04796004295349","1.0944299697876","","","","",""
"Japan","JPN","1985","4.1096","","","","","","","","","","","","","","","","","","80.57","74.87","","","","","4707","","","","","","","","",""
"Kyrgyz Republic","KGZ","1983","44.6644","","","","","","","","","","","","","","","","","","68.319","60.038","","","","","","","","","","","","","",""
"Korea, Rep.","KOR","1972","12.862","","","","","","","","","","","","","","","","","","66.8","59.4","","","","","","","0.973829984664917","0.880879998207092","0.668869972229004","0.355360001325607","","","",""
"Latin America & Caribbean (excluding high income)","LAC","1998","84.9952958600792","","","","","","","","","","42.4606677865747","68.3216673602127","55.3832019519002","46.8560471523354","50.1184468672019","80.4440054275635","83.6733101007206","66.5971527305812","73.9916714200904","67.6752453943325","1.00997996330261","","","16.5958836981379","64804","118298","0.96647","1.00648","1.0646","1.11616003513336","10.6552837136932","6.68394123874712","37.7325546770095","35.7031110327438"
"Lebanon","LBN","2003","19.944","","","","","","","","","","17.85","42.81","30.09","20.99","22.81","72.9","76.37","50.13","77.731","74.191","","0.1","0.1","2.34375","397051","24929","","","","","9.63","7.55","13.9700002670288","36.5300016403198"
"Liberia","LBR","1972","214.14","","","","","","","","","","","","","","","","","","42.702","38.753","","","","","","","0.467299997806549","0.423759996891022","0.283100008964539","0.299829989671707","","","",""
"Libya","LBY","1966","127.9836","","","","","","","","","","","","","","","","","","53.035","50.291","","","","","","","","","","","","","",""
"St. Lucia","LCA","1975","160.6138","","","","","","","","","","","","","","","","","","67.966","63.865","","","","","","","0.986779987812042","","","","","","",""
"St. Lucia","LCA","2009","46.5616","","","","","","","","","","49.86","60.62","55.21","60.91","67.2","76.66","82.04","74.49","76.194","73.289","","","","11.1111111111111","","312","","","1.03179001808167","1.6105500459671","16.5","14.43","20.1900001764298","28.1000008434057"
"Latin America & Caribbean","LCN","1978","91.8314889983932","","","","","","","","","","","","","","","","","","66.6450288766805","61.2263507323553","0.991450011730194","","","","","","0.97098","0.98443","1.02192","0.730820000171661","","","",""
"Least developed countries: UN classification","LDC","1970","153.826059486905","","","","","","","","","","","","","","","","","","45.0571409111528","43.1207632989029","","","","","","","0.61768","0.58302","0.45361","0.435869991779327","","","",""
"Low income","LIC","1996","131.165698322602","","","","","","","","","","52.415224731191","62.4653140307898","57.4592306040973","60.3975790282253","61.8658088800144","81.1446529861229","81.9961681251952","71.7757696070308","53.5016736492357","50.1260941443089","0.765460014343262","2.17373212401575","0.666983488908045","","3168628","6655153","0.74821","0.73281","0.6891","0.503600001335144","4.20768782425791","5.11610062366462","89.6055309410804","79.4518988683822"
"Sri Lanka","LKA","2005","24.535","","","","","","","","","","30.12","54.41","42.31","36.86","40.15","76.83","80.97","60.2","78.365","71.247","","0.1","0.1","4.88888888888889","106","108132","0.994530022144318","","","","11.89","5.55","40.8600006103516","36.0999982357025"
"Lower middle income","LMC","1961","117.241139602658","","","","","","","","","","","","","","","","","","46.4365231244765","45.2668790525404","","","","","","","","","","","","","",""
"Latvia","LVA","1975","30.381","","","","","","","","","","","","","","","","","","74.16","63.94","","","","","","","","","","","","","",""
"Morocco","MAR","1982","71.982","","","","","","","","","","","","","","","","","","60.573","57.681","0.532559990882874","","","","510","","0.622470021247864","0.630890011787415","0.652459979057312","","","","",""
"Moldova","MDA","2016","23.0854","","","","","","","","","","17.47","21.52","19.54","39.98","45.34","45.91","49.21","47.22","75.9","67.34","","0.1","0.2","21.7821782178218","419","2316","0.992250025272369","0.997619986534119","1.00083994865417","1.25318002700806","2.88","5.45","32.5200004577637","40.3099989891053"
"Madagascar","MDG","1975","159.6078","","","","","","","","","","","","","","","","","","48.08","46.189","","","","","","","0.880200028419495","","","","","","",""
"Maldives","MDV","2002","22.08","","","","","","","","","","31.61","48.38","40.16","37.18","38.23","70.26","72.34","55.47","72.943","70.712","","","","6","","","0.986590027809143","1.0273300409317","1.15882003307343","","4.74","2.84","50.9300003051758","23.7300004959107"
"Mexico","MEX","1980","101.8726","","","","","","","","","","","","","","","","","","69.974","63.309","0.976080000400543","","","","44000","","0.987129986286163","0.942390024662018","0.819360017776489","0.467290014028549","","","",""
"Myanmar","MMR","1981","64.9442","","","","","","","","","","","","","","","","","","56.655","50.132","","","","","","","0.913139998912811","","","","","","",""
"Myanmar","MMR","1998","38.668","","","","","","","","","","76.75","86.89","81.75","60.73","65.13","87.32","90.81","77.51","62.535","56.357","","","","","","133408","","","","1.35256004333496","0.88","0.78","79.3499994277954","78.3099975585937"
"Mozambique","MOZ","2000","183.1252","","","","","","","","","","78.21","64.29","71.47","87.55","88.16","82.7","82.47","85.52","51.029","46.784","","8.2","3.1","30","206","24","0.75093001127243","0.739080011844635","0.608539998531342","0.334100008010864","1.95","3.95","95.870002746582","78.4400033950806"
"Mauritius","MUS","1988","44.3046","","","","","","","","","","","","","","","","","","72.789","65.124","","","","","","","1.00223994255066","0.991800010204315","0.97969001531601","0.522369980812073","","","",""
"Mauritius","MUS","2003","36.1596","","","","","","","","","","36.34","57.84","47.17","39.88","43.84","78.04","83.13","63.42","75.6","68.8","","0.3","0.5","5.71428571428571","","54","0.999949991703033","0.994960010051727","0.989859998226166","0.922049999237061","12.74","5.95","18.789999961853","20.810000538826"
"New Zealand","NZL","2012","22.929","","","","","","","","","","56.28","60.77","58.59","61.57","71.75","73.42","82.64","77.1","83","79.4","","0.1","0.1","32.2314049586777","1504","19","1.00704002380371","1.0380300283432","1.06060004234314","","7.39","6.52","9.24999988079071","13.8299996852874"
"Other small states","OSS","2017","61.5516416661304","","","","","","","","","","34.7029192562419","45.2047442260578","40.2949185095974","54.0818007543281","58.1042425860008","75.0413914128194","77.9714239987718","69.0425986845963","69.8826011567444","66.7510447334362","0.997489988803864","3.84705469432651","1.49667645195492","18.5621685327048","62579","30754","0.98132","0.99899","1.02804","1.33959996700287","13.268747380111","7.60878751182335","37.963024388679","24.6037318441724"
"Poland","POL","1975","30.471","","","","","","","","","","","","","","","","","","74.3","67","","","","","","60","","","","1.15012001991272","","","",""
"Pre-demographic dividend","PRE","2019","105.313493630981","","","","","","","","","","40.6637043341169","47.7810280900104","44.2504658331199","56.3202707623454","57.3723305271348","72.2052867571605","72.9852732678642","65.1459079755056","62.8269581263253","59.5349384146739","0.905929982662201","1.31257229775033","0.608072322895025","22.0113314447592","5765872","9984333","0.93725","","","","5.71113070299359","5.8623031077341","82.9347108257856","67.5160485074868"
"Korea, Dem. People's Rep.","PRK","1968","5.4738","","","","","","","","","","","","","","","","","","60.463","54.243","","","","","","","","","","","","","",""
"West Bank and Gaza","PSE","1960","111.26","","","","","","","","","","","","","","","","","","","","","","","","258165","","","","","","","","",""
"French Polynesia","PYF","1979","80.5032","","","","","","","","","","","","","","","","","","66.176","61.991","","","","","","","","","","","","","",""
"South Asia","SAS","1987","111.226083713718","","","","","","","","","","","","","","","","","","57.1107599575357","56.5434499041275","0.700429975986481","","","","","","0.71566","0.65287","0.53992","0.432660013437271","","","",""
"Senegal","SEN","1961","195.114","","","","","","","","","","","","","","","","","","39.151","37.613","","","","","","","","","","","","","",""
"Senegal","SEN","2000","104.0724","","","","","","","","","","26.47","57.2","41.74","33.43","34.66","70.98","73.28","53.27","59.368","56.196","","0.2","0.1","12.1428571428571","20762","11077","0.868330001831055","0.820729970932007","0.650259971618652","","7.81","4.53","86.2400016784668","74.9600009918213"
"Singapore","SGP","1968","30.6728","","","","","","","","","","","","","","","","","","71.045","64.463","","","","","","","","","","","","","",""
"Somalia","SOM","2006","127.17","41.5","45.5","46.5","38","53.9","43.5","53.5","62","46.1","15.04","51.61","33.33","21.12","21.93","76.1","78.43","50.17","54.282","51.148","","0.1","0.1","7.80669144981413","669","464026","","","","","13.53","13.1","94.9300003051757","90.6500015258789"
"Somalia","SOM","2015","104.2014","","","","","","","","","","15.54","51.36","33.48","21.44","22.25","73.77","76.14","48.98","57.605","54.308","","0.1","0.1","13.8181818181818","8081","1123144","","","","","13.69","13.12","95.9800033569336","89.3000011444092"
"Sub-Saharan Africa","SSF","2014","108.206280402356","","","","","","","","","","44.8213125111846","50.3000047897687","47.5722557418573","61.0893847071729","62.4172104795017","73.1915394838281","74.0182592849188","68.1686162415001","61.0920074067118","57.7335187079486","0.893719971179962","2.26244107323703","0.936001990510806","22.1580435049773","3745811","4479222","0.95015","0.92522","0.86191","0.724150002002716","6.30961189485525","5.31649227270368","81.8670531960061","68.6306730441487"
"Sub-Saharan Africa","SSF","2016","104.575734905038","","","","","","","","","","45.198800606906","50.7258467485822","47.9762182798186","61.0190293301455","62.4437966124747","72.822511403678","73.7629506787659","68.0595500611806","62.1764404298446","58.7230162099959","0.910690009593964","2.06541263650483","0.868777948853475","23.8100686498856","5191333","6007867","0.95449","0.93181","0.87472","0.744910001754761","6.706673763469","5.70423019482913","81.3515996870462","68.2061860713795"
"Syrian Arab Republic","SYR","2014","41.4096","","","","","","","","","","8.42","49.69","29.64","13.99","14.81","73.4","76.42","45.75","76.601","64.032","","0.1","0.1","12","677751","3887490","","","","1.02354001998901","20.98","6.19","9.82000017166137","41.5600016117096"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2017","22.4529699092396","","","","","","","","","","42.2481030809636","51.4626089643797","47.0704252585943","59.7583680208696","65.7785817667238","77.2432774917154","82.6433661703659","74.3799086451382","77.591853135519","72.6591071576377","0.999809980392456","","","20.5111294311624","551510","1734926","0.99674","1.00581","1.01851","1.16982996463776","3.4384548570999","4.23449117665488","48.6446047526855","43.0211808228695"
"Turkmenistan","TKM","2005","23.0568","","","","","","","","","","31.5","52.09","41.83","48.97","52.49","73.2","76.56","64.31","68.889","61.255","","","","16","11965","818","","","","","5.11","8.79","48.6300020217896","35.6300003528595"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1960","139.732766867358","","","","","","","","","","","","","","","","","","46.9584702312592","45.7911050772959","","","","","","","","","","","","","",""
"Middle East & North Africa (IDA & IBRD countries)","TMN","2001","42.3130424758679","","","","","","","","","","15.3681527305031","51.198922781479","33.6129252857199","17.8232875687987","18.9665376424396","73.2644533774938","76.2188254423008","47.7928000623912","71.4315962005163","67.9228413349373","0.898549973964691","0.105099495943306","0.102352611937909","3.99556048834628","4729882","655487","0.89838","0.90032","0.90382","0.849979996681213","18.9096048098142","11.6497951075241","43.5713646410482","33.3173924401064"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2012","44.0217933648604","","","","","","","","","","12.6397150420102","47.0836993146742","30.1229996735177","18.0092375271","19.2328645819255","71.7433632516438","75.3791697281505","47.4133488382921","74.4237976239581","70.4874728749672","0.934729993343353","0.100823094444856","0.100626115139467","14.1674333026679","5325156","1597038","0.93897","0.93845","0.93893","1.00010001659393","19.5351346978543","9.72652073225197","40.1862300298636","30.3645792064276"
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","2005","122.356046905358","","","","","","","","","","48.3407235902688","53.3704485331184","50.8603295131341","63.1298088127588","64.3652327858914","75.6290613079704","76.2700774389563","70.2538415094226","54.3515409453697","51.4562745767633","0.840550005435944","3.14501930344753","1.12703226425341","16.2370142362447","2561508","3096093","0.88232","0.85929","0.78781","0.697090029716492","6.61125018739983","5.8418115625398","85.9284047276651","72.9277495326938"
"Trinidad and Tobago","TTO","1971","94.359","","","","","","","","","","","","","","","","","","66.816","63.014","","","","","","","0.987890005111694","1.00160002708435","1.07687997817993","0.555040001869202","","","",""
"Tunisia","TUN","2001","6.8066","","","","","","","","","","23.63","46.13","34.98","23.15","25.26","70.46","75.14","50.06","76.051","71.099","","0.1","0.1","11.5384615384615","92","1364","0.973169982433319","1.00093996524811","1.04320001602173","1.09133994579315","15.56","14.01","27.1600008010864","25.6100006103515"
"Turkey","TUR","1997","54.68","","","","","","","","","","32.1","63.59","47.85","28.6","30.33","76.1","79.61","54.52","72.182","64.407","","","","2.36363636363636","2448","47339","0.916000008583069","0.804830014705658","0.676050007343292","0.542890012264252","7.79","6.46","58.710000038147","35.5499992370606"
"Upper middle income","UMC","1973","46.525853764821","","","","","","","","","","","","","","","","","","64.9563815335491","60.528803027495","","","","","","","0.7987","0.79965","0.80474","0.953239977359772","","","",""
"Uruguay","URY","2001","65.2146","","","","","","","","","","52.53","68.83","60.81","52.96","64.71","75.62","86.06","75.2","78.634","71.181","","0.1","0.1","12.1212121212121","86","45","0.978559970855713","1.04951000213623","1.13664996623993","1.44869005680084","19.83","11.36","21.9400007724762","26.8500002026558"
"Uzbekistan","UZB","2001","23.0858","","","","","","","","","","35.64","54.49","45.13","54.26","58.5","75.79","79.58","68.94","70.644","64.17","","0.1","0.1","7.2","39579","3454","1.00378000736237","","","0.809239983558655","13.07","9.26","49.8600006103515","44.7700004577636"
"Vanuatu","VUT","1992","69.822","","","","","","","","","","51.03","61.21","56.19","60.68","61.4","78.46","79.12","70.35","66.484","64.446","","","","","","","0.956369996070862","","","","4.98","4.26","84.1200029850006","70.2299981117248"
"Yemen, Rep.","YEM","1996","118.3","","","","","","","","","","17.16","50.96","34.68","18.74","19.53","72.81","75.46","47.65","60.655","57.582","","0.1","0.1","","53546","1154","","","","","5.32","10.58","66.8300018310547","37.4700002670288"
"Zambia","ZMB","1975","191.1104","","","","","","","","","","","","","","","","","","53.518","50.499","","","","","36050","750","0.841729998588562","","","0.160929992794991","","","",""
"Zimbabwe","ZWE","1976","172.1664","","","","","","","","","","","","","","","","","","59.857","56.472","","","","","","31220","0.860220015048981","0.847090005874634","0.721949994564056","","","","",""
"Guinea","GIN","1973","180.3042","","","","","","","","","","","","","","","","","","38.859","36.419","","","","","","","0.457249999046326","","","","","","",""
"Portugal","PRT","1980","38.0948","","","","","","","","","","","","","","","","","","74.8","67.8","","","","","7600","","0.955070018768311","0.885930001735687","0.729210019111633","0.919340014457703","","","",""
"Sub-Saharan Africa (excluding high income)","SSA","1984","148.034437405344","","","","","","","","","","","","","","","","","","51.1589573421485","48.1338427884939","","","","","","","0.81213","0.76379","0.59322","0.544830024242401","","","",""
"Uganda","UGA","1990","175.594","","","","","","","","","","53.2","56.79","55","62.57","63.83","77.51","78.12","70.89","49.158","42.915","","8.9","2.3","","145718","58820","0.800339996814728","0.775650024414063","0.573870003223419","0.393059998750687","","","",""
"Angola","AGO","1980","223.68","","","","","","","","","","","","","","","","","","45.754","42.708","","","","","75000","449030","","","","","","","",""
"United Arab Emirates","ARE","1971","166.812","","","","","","","","","","","","","","","","","","64.287","60.546","","","","","870","","0.685509979724884","","","","","","",""
"United Arab Emirates","ARE","1982","118.391","","","","","","","","","","","","","","","","","","71.026","68.072","","","","","3690","","0.95591002702713","0.966000020503998","0.961510002613068","","","","",""
"Australia","AUS","1988","21.055","","","","","","","","","","","","","","","","","","79.68","73.34","","","","","90970","","0.999130010604858","","","1.07472002506256","","","",""
"Austria","AUT","1962","53.393","","","","","","","","","","","","","","","","","","72.48","66.29","","","","","30000","","","","","","","","",""
"Burundi","BDI","1967","92.544","","","","","","","","","","","","","","","","","","44.927","41.72","","","","","79000","","","","","","","","",""
"Bangladesh","BGD","1976","199.5538","","","","","","","","","","","","","","","","","","48.738","50.038","","","","","","","0.543429970741272","0.498580008745193","0.338360011577606","0.14631000161171","","","",""
"Bahamas, The","BHS","1964","85.7804","","","","","","","","","","","","","","","","","","67.112","63.14","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","BIH","1974","48.4736","","","","","","","","","","","","","","","","","","70.54","66.024","","","","","","","","","","","","","",""
"Belarus","BLR","1962","17.068","","","","","","","","","","","","","","","","","","71.499","65.909","","","","","","","","","","","","","",""
"Belize","BLZ","2020","","","","","","","","","","","","","","","","","","","","","","0.3","0.2","9.67741935483871","29","78","","","","","","","",""
"Bhutan","BTN","1971","108.53","","","","","","","","","","","","","","","","","","40.846","39.573","","","","","","","0.243699997663498","0.229249998927116","0.0818400010466576","","","","",""
"Botswana","BWA","1981","145.1872","","","","","","","","","","","","","","","","","","62.868","56.317","","","","","1290","","1.16814005374908","1.14476001262665","1.14927005767822","0.429210007190704","","","",""
"Central African Republic","CAF","1979","169.4548","","","","","","","","","","","","","","","","","","50.832","46.706","","","","","1000","","0.54926997423172","0.508650004863739","0.267439991235733","0.223100006580353","","","",""
"Switzerland","CHE","2003","5.1734","","","","","","","","","","68.67","69.92","69.3","59.58","74.16","76.62","88.33","81.25","83.2","78","","0.1","0.1","25","50126","34","1.00194001197815","0.969969987869263","0.940460026264191","0.807099997997284","4.49","3.81","11.1400001049042","10.6400003433228"
"Chile","CHL","2002","57.03","","","","","","","","","","27.32","46.91","37.26","37.28","41.48","74.25","79.06","60.07","79.881","73.768","1.00382995605469","0.1","0.1","12.5","414","1705","0.976230025291443","0.994989991188049","1.01757001876831","0.930880010128021","11.79","9.31","25.2799997329712","30.4300006628036"
"Congo, Rep.","COG","1989","129.7872","","","","","","","","","","","","","","","","","","58.15","51.778","","","","","3401","","0.932550013065338","0.890959978103638","0.799600005149841","0.176349997520447","","","",""
"Djibouti","DJI","1961","44.3484","","","","","","","","","","","","","","","","","","45.802","43.165","","","","","","","","","","","","","",""
"Dominica","DMA","1981","","","","","","","","","","","","","","","","","","","","","","","","","","","1.09054005146027","","","0.306270003318787","","","",""
"Algeria","DZA","2004","9.6828","","","","","","","","","","10.35","53.97","32.56","12.58","13.5","72.33","76.57","45.41","73.959","71.281","","0.1","0.1","6.16966580976864","169053","10650","0.925880014896393","0.995850026607513","1.09079003334045","1.07253003120422","18.21","17.56","30.7600002288819","28.3499994277954"
"East Asia & Pacific (excluding high income)","EAP","2001","21.3087362260382","","","","","","","","","","60.0858232855841","65.9269633508042","63.0720187969322","66.5160222714426","71.4705289592298","82.5956358600256","86.5905305623809","79.1614480909132","72.61033039118","68.4344507715562","0.992810010910034","","","17.6150024042315","551095","792352","0.98466","0.96806","0.94805","0.852970004081726","3.54904644159057","4.05309231327294","61.0840264987505","60.440099645105"
"Ecuador","ECU","1963","129.2536","","","","","","","","","","","","","","","","","","55.956","53.339","","","","","","","","","","","","","",""
"Euro area","EMU","2011","8.18012630143535","","","","","","","","","","38.9966198840995","44.644029214271","41.8821852380782","49.7668389958335","65.1379228009508","64.0571110833256","77.9346666818574","71.5393540206088","84.2033465078439","78.4126718447184","","0.1","0.1","26.0467268100856","1022488","2385","0.99228","0.99166","0.99131","1.15271997451782","10.3626524161098","9.90384269259254","8.74679067184998","12.657019237284"
"United Kingdom","GBR","2003","26.354","","","","","","","","","","57.93","63.91","60.97","53.92","67.92","69.33","81.93","74.89","80.7","76.3","","","","17.9059180576631","276482","146","1.00178003311157","1.01961004734039","1.03427994251251","1.23245000839233","4.06","5.43","6.20999994874001","12.8399996161461"
"Guinea","GIN","1981","179.3362","","","","","","","","","","","","","","","","","","43.186","40.784","","","","","","","0.495469987392426","0.459820002317429","0.379669994115829","0.214080005884171","","","",""
"Greece","GRC","1989","24.4438","","","","","","","","","","","","","","","","","","79.3","74.2","","","","","7490","6","1.00134003162384","0.980390012264252","0.959689974784851","1.03276002407074","","","",""
"Guam","GUM","1982","78.588","","","","","","","","","","","","","","","","","","72.347","67.717","","","","","","","","","","","","","",""
"Guyana","GUY","2010","86.8688","","","","","","","","","","34.03","58.57","46.12","38.46","40.9","73.13","76.43","58.52","71.537","64.817","","0.3","0.1","30","7","746","0.970269978046417","1.00057005882263","1.0393899679184","1.57620000839233","14.98","10.46","35.2600011825562","28.1899991035462"
"Hungary","HUN","1963","46.588","","","","","","","","","","","","","","","","","","71.22","66.64","","","","","","","","","","","","","",""
"IDA only","IDX","1960","154.636140888246","","","","","","","","","","","","","","","","","","42.0412569621897","40.1034463429763","","","","","","","","","","","","","",""
"IDA only","IDX","1969","151.853901765984","","","","","","","","","","","","","","","","","","45.7657476612534","43.7477696792559","","","","","","","","","","","","","",""
"Iran, Islamic Rep.","IRN","2011","33.9638","","","","","","","","","","11.57","45.68","28.72","15.06","15.93","69.68","73.04","44.53","75.753","73.035","","0.1","0.1","2.75862068965517","886465","72366","0.979030013084412","0.954029977321625","0.935899972915649","0.995329976081848","20.58","10.71","46.2700004577637","38.369998216629"
"Italy","ITA","2006","7.0146","","","","","","","","","","26.82","37.72","32.41","37.94","50.77","60.73","74.5","62.61","84.1","78.6","","0.1","0.1","17.3015873015873","26870","106","0.98580002784729","0.988900005817413","0.990790009498596","1.28182995319366","8.78","5.43","16.420000076294","21.1599993705749"
"Jamaica","JAM","2013","59.1546","","","","","","","","","","30.24","39.05","34.74","57.11","62.49","70.99","74.7","68.53","75.576","72.51","","0.3","0.2","12.6984126984127","18","1501","","","1.07621002197266","1.56484997272491","20.09","11.24","30.4800007343292","42.1899996995926"
"Jordan","JOR","2009","29.6014","","","","","","","","","","11.42","43.82","27.97","15.47","16.44","68.31","71.54","44.74","74.921","71.749","","0.1","0.1","6.36363636363636","2434485","2111","","","","1.09739995002747","24.39","10.42","1.62999998033047","10.1600001454353"
"Kiribati","KIR","2005","29.7436","","","","","","","","","","","","","","","","","","67.696","61.249","","","","4.76190476190476","","31","1.01445996761322","1.06909000873566","1.14674997329712","","","","",""
